prices,market_cap,time,volumes
20800.70708772471,399135164712.3964,2022-10-30 00:03:44.784,32806216910.570454
20728.173555634443,397835657393.94653,2022-10-30 01:03:21.871,32805437159.170517
20747.464833701066,398040159353.99207,2022-10-30 02:02:31.240,32951925755.709488
20764.700098777063,398696136132.07544,2022-10-30 03:02:59.029,32696568050.94402
20762.235531724473,398841114608.8302,2022-10-30 04:02:15.706,32129228614.629658
20756.93765235761,398422425425.05396,2022-10-30 05:03:49.634,31794411652.174225
20795.75577168139,398722981248.0001,2022-10-30 06:03:13.296,31656672943.350048
20875.130879046064,400655729318.3359,2022-10-30 07:00:46.868,32234165035.9222
20855.311576105796,399866329730.7873,2022-10-30 08:00:18.837,32492232328.81116
20805.277027388045,399387947188.76385,2022-10-30 09:01:18.342,31040049647.374508
20671.871906592878,398163438814.9753,2022-10-30 10:02:46.326,31023186670.026672
20668.846291349437,396575440219.5553,2022-10-30 11:01:44.209,29890821388.849957
20749.97557185092,398173347960.6381,2022-10-30 12:02:08.704,28805093200.686028
20730.379003567996,397498734355.25757,2022-10-30 13:02:37.775,28640904233.802494
20676.40275476395,397221648041.7708,2022-10-30 14:02:13.413,28606349955.50743
20730.455438973215,397822678960.7132,2022-10-30 15:02:16.730,27740854024.91202
20668.1969809371,397127562678.14044,2022-10-30 16:02:48.292,26999015295.082676
20637.61442607647,396246017676.4505,2022-10-30 17:02:06.003,26357864792.8754
20657.323763001954,395802650319.2785,2022-10-30 18:01:48.836,26127358515.662663
20674.165494383757,396833426087.3837,2022-10-30 19:02:11.320,24745198787.374416
20642.520394162624,396720077657.6077,2022-10-30 20:02:05.524,24589065262.701797
20689.143100546833,397080765582.15326,2022-10-30 21:02:12.681,24490008466.067387
20686.864937332604,396920311789.62,2022-10-30 22:02:09.094,24351510426.687
20547.99721067806,394345515588.5684,2022-10-30 23:01:04.631,24602310314.408833
20623.871497040946,395548335410.141,2022-10-31 00:02:02.670,24707906148.749344
20550.99374247351,394452300251.5684,2022-10-31 01:02:44.360,24945737533.222355
20558.13725061066,394179731364.38477,2022-10-31 02:03:10.869,25571942635.005398
20456.618634032508,392562696708.39374,2022-10-31 03:01:55.896,25884831444.83845
20505.863885356033,393489011543.1688,2022-10-31 04:02:24.032,26055437115.54612
20558.546273370706,394202487997.16595,2022-10-31 05:01:58.891,26294492822.042534
20552.244023689098,394496429560.20605,2022-10-31 06:02:08.202,26314020137.03935
20498.3504131385,393295926819.5584,2022-10-31 07:02:04.588,26020679064.333645
20528.740502150093,393304417358.5464,2022-10-31 08:03:45.643,25593986810.594475
20462.27940555481,392406513176.5051,2022-10-31 09:01:38.671,25377851343.47974
20601.786781559098,395446632814.54803,2022-10-31 10:01:42.503,25583516672.588867
20736.443729567003,398244726878.4717,2022-10-31 11:01:16.167,26423565774.49156
20724.811159882338,397870385199.7258,2022-10-31 12:01:23.090,26880552844.054585
20710.781663255613,397485078228.1661,2022-10-31 13:02:10.884,27379789581.354954
20591.0353868866,395692750095.92706,2022-10-31 14:00:46.709,28919164502.370068
20283.290452136498,389524165701.73157,2022-10-31 15:00:44.837,31323716711.327713
20363.76911305374,390761689280.0009,2022-10-31 16:00:54.442,32876339092.09388
20361.233125418945,390855172053.23376,2022-10-31 17:03:25.410,34372647746.772835
20358.478741035924,391437549138.0131,2022-10-31 18:01:11.910,34610640823.704475
20457.363220077204,392654744152.36755,2022-10-31 19:01:57.957,35279022619.76597
20367.491056368646,391833221640.51465,2022-10-31 20:01:57.700,36185844646.63557
20422.20095110334,392180166179.194,2022-10-31 21:01:33.344,36626512327.354195
20404.02947536585,391509316586.40857,2022-10-31 22:01:33.123,36861428576.49617
20478.088541185574,392646424819.1972,2022-10-31 23:01:40.955,37024220138.17762
20494.60120983709,393311097043.5727,2022-11-01 00:03:13.578,37290619694.72375
20460.681379378133,392836600548.17267,2022-11-01 01:01:53.384,37293384139.051735
20519.73227933234,394010751938.04297,2022-11-01 02:01:33.149,37759293739.65042
20578.118116311925,393850274102.0216,2022-11-01 03:04:33.499,37989694802.63956
20483.540478987252,393094767267.93896,2022-11-01 04:01:15.927,38447073503.1509
20490.822822411643,393030720115.1029,2022-11-01 05:01:51.172,36156315677.45094
20525.21893677781,394049854963.10345,2022-11-01 06:02:07.810,36192070978.0709
20628.697291065695,395930970858.0842,2022-11-01 07:01:29.664,36751495237.998825
20580.363934091754,395075709943.1409,2022-11-01 08:02:31.508,36714522235.57
20567.596761570116,395463633926.62427,2022-11-01 09:02:03.256,36823713974.6315
20601.19892323523,395560425339.1646,2022-11-01 10:02:18.747,36933459304.961426
20633.422035907417,396026302643.0849,2022-11-01 11:03:07.100,36315908397.14072
20542.12831783979,394213255818.76215,2022-11-01 12:01:52.069,36564200517.3194
20548.295047447307,394506739092.55914,2022-11-01 13:01:20.092,36333929616.70924
20364.853765535223,389044050635.3298,2022-11-01 14:03:08.206,35942494928.9169
20446.75834018051,392639307162.47864,2022-11-01 15:01:40.029,34837812826.08091
20418.178600374205,391855527408.92206,2022-11-01 16:01:27.616,34268706849.38845
20432.258989625938,392088068741.0969,2022-11-01 17:03:22.018,33494659536.229828
20429.964797633787,392254865239.2885,2022-11-01 18:02:45.761,33315503116.155098
20434.343616391172,392093187905.72705,2022-11-01 19:02:22.606,33177279233.503887
20445.092911382628,392397881367.9389,2022-11-01 20:03:36.318,32850742398.26029
20468.78681771494,392876469647.7817,2022-11-01 21:01:40.843,32223818445.507706
